I	/aɪ/	pron.(主格)我
logical	/'lɔdʒikəl/	a.逻辑的,符合逻辑的
lonely	/'ləunli/	a.孤独的,寂寞的;荒凉的,人迹稀少的
long	/lɔŋ,lɔ:ŋ/	a.长的,长时间的,长期的ad.长久,长期地
longitude	/'lɔndʒitju:d,-tu:d/	n.经度
look	/luk/	vi./n.看,注视v.好像,显得n.外表,脸色
loom	/lu:m/	n.织布机,织机v.隐现,(危险、忧虑等)迫近
loop	/lu:p/	n.圈,环
loose	/lu:s/	a.(宽)松的;不精确的;自由的,散漫的
loosen	/'lu:sən/	v.解开,放松
lord	/lɔ:d/	n.(Lord)上帝,主;主人,长官,君主,贵族
lorry	/'lɔ:ri,'lɔ:-/	n.卡车,运货汽车
lose	/lu:z/	v.丢失,迷路,输掉,亏本,失败,走慢,使沉湎于
loss	/lɔs,lɔ:s/	n.丧失,遗失;损失,损耗,亏损;失败
lot	/lɔt/	n.许多,大量;签,抽签;命运;场地
lottery	/'lɔtəri/	n.抽彩;碰运气的事,难于算计的事
loud	/laud/	a.大声的,响亮的;吵闹的,喧嚣的
loudspeaker	/'laud'spi:kə/	n.扬声器,扩音器
lounge	/laundʒ/	n.休息室,起居室,客厅
love	/lʌv/	n.爱,爱情,喜欢vt.爱,热爱;爱好,喜欢
lovely	/'lʌvli/	a.可爱的,好看的;令人愉快的,美好的
lover	/'lʌvə/	n.爱好者;(pl.)情侣
low	/ləu/	a.低,矮;低级的,下层的,卑贱的;低声的
lower	/'ləʊə/	a.较低的,下级的,下游的v.降下,放低
loyal	/'lɔiəl/	a.(to)忠诚的,忠贞的
loyalty	/'lɔiəlti/	n.忠诚,忠心
lubricate	/'lubrikeit/	v.润滑,加润滑油,行贿,收买
luck	/lʌk/	n.运气;好运,侥幸
lucky	/'lʌki/	a.幸运的,侥幸的
luggage	/'lʌɡidʒ/	n.行李,皮箱
lumber	/'lʌmbə/	n.木材,木料
lump	/lʌmp/	n.团,块v.(使)成团,(使)成块
lunar	/'lju:nə/	a.月亮的
lunch	/lʌntʃ/	n.午餐,(美)便餐
lung	/lʌŋ/	n.肺
lure	/ljuə/	n.吸引力,魅力,诱惑物vt.引诱,吸引
luxury	/'lʌkʃəri,'lʌɡʒəri/	n.奢侈,华贵;奢侈品a.奢华的,豪华的
machine	/mə'ʃi:n/	n.机器,机械v.用机器加工
machinery	/mə'ʃi:nəri/	n.(总称)机器,机械
mad	/mæd/	a.发疯的;狂热的,着迷的;恼火的,生气的
madame	/mɑ:'dɑ:m,'mædəm/	n.(madam)夫人,太太,女士
magazine	/,mæɡə'zi:n/	n.杂志,期刊
magic	/'mædʒik/	n.魔术,魔(魅)力,巫术a.有魔力的,魔术的
magistrate	/'mædʒistreit/	n.地方行政官,地方法官,治安官
magnet	/'mæɡnit/	n.磁体,磁铁
magnetic	/mæɡ'netik/	a.磁的,有磁性的;有吸引力的
magnificent	/mæɡ'nifisənt/	a.华丽的,高尚的,宏伟的
magnify	/'mæɡnifai/	vt.放大,扩大,夸大,夸张
magnitude	/'mæɡnitju:d/	n.大小,数量;巨大,广大
maid	/meid/	n.少女,处女,女仆
maiden	/'meidən/	n.少女,处女a.未婚的,纯洁的,无经验的
mail	/meil/	n.邮件v.邮寄
main	/mein/	a.主要的,总的n.总管道;干线
mainland	/'meinlənd/	n.大陆,本土
maintain	/mein'tein/	v.维修,保养,维持,供养,坚持,主张,支持
maintenance	/'meintənəns/	n.维修,保养,维持,保持,生活费用
majesty	/'mædʒisti/	n.雄伟,壮丽,庄严,威严;最高权威,王权
major	/'meidʒə/	a.主要的n.成年人,专业学生,主修课程v.主修
majority	/mə'dʒɔriti/	n.多数,大多数,成年,法定年龄
make	/meik/	n.(产品)来源,制法vt.制造,做成,准备
male	/meil/	n./a.男性(的),雄性(的)
malignant	/mə'liɡnənt/	a.恶性的,致命的;恶意的,恶毒的
mammal	/'mæməl/	n.哺乳动物
man	/mæn/	n.(pl.men)人;人类(单数,不加冠词);男人
manage	/'mænidʒ/	v.经营,管理,处理;设法,对付;操纵,运用
management	/'mænidʒmənt/	n.经营,管理;处理,操纵;管理部门
manager	/'mænidʒə/	n.经理,管理人
maneuver	/mə'nu:və/	n.(manoeuvre)机动;运用,操作;v.机动
manifest	/'mænifest/	v.表明,证明,显示a.明白的,明了的
manipulate	/mə'nipjuleit/	vt.(熟练地)使用,操作;(巧妙地)处理
mankind	/,mæn'kaind/	n.人类
manner	/'mænə/	n.方式;举止;(pl.)风度,礼貌;规矩;风俗
manual	/'mænjuəl/	a.手的,手工做的,体力的n.手册,指南
manufacture	/,mænju'fæktʃə/	v.制造,加工n.制造,制造业;产品
manuscript	/'mænjuskript/	n.手稿,原稿
many	/'meni/	a.许多的,多的pron.许多人或物,许多
map	/mæp/	n.地图,图vt.在地图上标示出,绘制地图
marble	/'mɑ:bl/	n.大理石,云石
march	/mɑ:tʃ/	v.(使)行军,(使)行进n.行军,行程
March	/mɑ:tʃ/	n.三月(略作Mar.)
margin	/'mɑ:dʒin/	n.页边空白;边缘;余地;幅度
marginal	/'mɑ:dʒinəl/	a.记在页边的,旁注的;(意识)边缘的
marine	/mə'ri:n/	a.海的,海生的;船舶的,航海的
marital	/'mæritəl/	a.婚姻的,夫妻之间的
mark	/mɑ:k/	n.痕迹;记号;分数v.标记,打分,使有特色
market	/'mɑ:kit/	n.集市,市场;销路,需求(量)v.销售
marriage	/'mæridʒ/	n.结婚,婚姻;结婚仪式
married	/'mærid/	a.已婚的,夫妇的;(to)与…结婚的
marry	/'mæri/	v.结婚,嫁,娶
marvelous	/ˈmɑːvələs/	a.(marvellous)惊人的,奇迹般的,妙极的
Marxist	/ˈmɑːksɪst/	a.马克思主义的n.马克思主义者
masculine	/'mæskjulin/	a.男性的,似男性的;［语法］阳性的
mask	/mɑ:sk,mæsk/	n.面具,面罩;假面具,伪装v.掩饰,化装
mass	/mæs/	n.大量,众多;团,块;(pl.)群众,民众;质量
massacre	/'mæsəkə/	vt.残杀,集体屠杀n.残杀,大屠杀
massive	/'mæsiv/	a.大而重的,厚实的,粗大的;大规模的,大量的
master	/'mɑ:stə,'mæstə/	n.男主人;师傅;硕士v.精通,控制a.主要的
masterpiece	/'mɑ:stəpi:s,'mæs-/	n.杰作,名著
mat	/mæt/	n.席子,垫子
match	/mætʃ/	n.火柴;比赛,竞赛;对手,配偶v.匹配,相称
mate	/meit/	n.伙伴,同事,同伴,配偶v.结伴,配对,交配
material	/məˈtɪriəl/	n.材料,原料,资料a.物质的,肉体的,实质性的
mathematical	/,mæθi'mætikəl/	a.数学的;数学上的
maths	/mæθs/	n.(mathematics/math)数学
matter	/'mætə/	n.物质,物体;毛病,麻烦;事情v.有关系,要紧
mature	/mə'tjuə/	a.成熟的,熟的;成年人的v.(使)成熟
maximum	/'mæksiməm/	n.最大值,极限a.最大的,最高的
may	/mei/	aux.v.可能,也许;可以,被允许;祝,愿
May	/mei/	n.五月
maybe	/'meibi/	adv.可能;大概;也许
mayor	/'mεə/	n.市长
me	/mi:,弱mi/	pron./I的宾格/我
meadow	/'medəu/	n.草地,牧场
meal	/mi:l/	n.膳食,一餐
mean	/mi:n/	v.表示…的意思a.卑鄙的;平均的n.平均值
meaning	/'mi:niŋ/	n.意思,意义,含义;重要性,价值
means	/mi:nz/	n.方法,手段
meantime	/'mi:n'taim/	n.(meanwhile)其间,其时ad.同时,当时
meanwhile	/'mi:nwail/	n.其时,其间ad.当时,与此同时
measure	/'meʒə/	v.测量,分派,权衡n.尺寸,量度器,措施,办法
meat	/mi:t/	n.(食用)肉类
mechanic	/mi'kænik/	n.技工,机修工
mechanical	/mi'kænikəl/	a.机械的,由机构制成的;机械似的,呆板的
mechanism	/'mekənizəm/	n.机械装置,机构;机制
medal	/'medəl/	n.奖章,勋章,纪念章
medical	/'medikəl/	a.医学的,医疗的,医药的;内科的
medicine	/'medisin/	n.内服药,医药;医术;医学,内科学
medieval	/,medi'i:vəl,,mi:-/	a.中世纪的,中古(时代)的,老式的,原始的
meditate	/'mediteit/	v.想,考虑,(尤指宗教上的)沉思,冥想
meditation	/,medi'teiʃən/	n.熟虑;(尤指宗教的)默想,沉思;(pl.)冥想录
medium	/'mi:diəm,-djəm/	n.(pl.media)媒体,方法,媒介,介质a.中等的
meet	/mi:t/	n.会,集会v.遇见;会谈;迎接;满足;符合
meeting	/'mi:tiŋ/	n.会议,集合,汇合,会见,接见,汇合点
melody	/'melədi/	n.旋律,曲调;悦耳的音乐
melon	/'melən/	n.甜瓜
melt	/melt/	v.(使)融化,(使)熔化
member	/'membə/	n.成员,会员
membership	/'membəʃip/	n.会员资格,成员资格
memo	/'meməu/	n.(memorandum)备忘录
memorial	/mi'mɔ:riəl,-'məu-/	a.记忆的,纪念的n.纪念物,纪念碑,纪念馆
memory	/'meməri/	n.记忆,记忆力;回忆;存储(器)
menace	/'menəs/	vt./n.有危险性的人(或物);威胁,威吓
mend	/mend/	v.修理,缝补;改正,改进
mental	/'mentəl/	a.精神的,思想的,心理的,智力的,脑力的
mention	/'menʃən/	v./n.提及,说起
menu	/'menju:,mə'nju:/	n.菜单
merchandise	/'mə:tʃəndaiz,-dais/	n.商品,货物
merchant	/'mə:tʃənt/	n.商人,零售商
mercury	/'mə:kjuri/	n.水银,汞
mercy	/'mə:si/	n.仁慈,怜悯,宽恕
mere	/miə/	a.纯粹的;仅仅,只不过
merely	/'miəli/	adv.仅仅,只不过
merge	/mə:dʒ/	v.(使)结合,(使)合并,(使)合为一体
merit	/'merit/	n.优点,价值,功绩v.值得,应得
merry	/'meri/	a.欢乐的,愉快的
mess	/mes/	n.混乱,混杂,脏乱v.弄脏,弄乱,搞糟
message	/'mesidʒ/	n.消息,信息,通讯,启示,教训,广告词,预言
messenger	/'mesindʒə/	n.送信者,使者,传令兵
metal	/'metəl/	n.金属,金属制品
metaphor	/'metəfə/	n.隐喻,暗喻
method	/'meθəd/	n.方法,办法
metre	/'mi:tə/	n.(meter)米,公尺;仪表,计量器
metric	/'metrik/	a.米制的,公制的
metropolitan	/,metrə'pɔlitən/	a.首都的,主要都市的,大城市
microphone	/'maikrəfəun/	n.话筒,扩音器
microscope	/'maikrəskəup/	n.显微镜
middle	/'midl/	n./a.中间(的),当中(的)
midst	/midst/	n.中间,当中
might	/mait/	aux.v.可能,也许n.力量,威力,权力
migrate	/mai'ɡreit,'maiɡ-/	v.迁移,移居(国外)
mild	/maild/	a.温和的,轻微的,味淡的,不含有害物质的的
mile	/mail/	n.英里,哩,海里
militant	/'militənt/	a.好战的,富于战斗性的n.斗士
military	/'militəri/	a.军事的,军用的,军队的
milk	/milk/	n.牛奶;(植物流出的)白色乳液v.挤奶
mill	/mil/	n.磨粉机,磨坊;作坊,工厂
millimeter	/'mili,mi:tə/	n.(millimetre)毫米
million	/'miljən/	num./n.百万,百万个
millionaire	/,miljə'nεə/	n.百万富翁
